Hit papers,Career,hindex_mean,hindex_se
NN,academia,1.5038686882239813,0.014610559457858576
YN,academia,3.308356545961003,0.054851635
NY,academia,3.4845559845559846,0.13912213188615524
YY,academia,4.670912951167728,0.17547091380895136
